'sample #','II','AVF','ABP','PAP'
907,-1032,-1200,-30,-60
908,-1032,-1200,-30,-60
909,-3096,-3600,-90,-180
910,-3096,-3600,-90,-180
911,-3096,-3600,-90,-180
912,-3096,-3600,-90,-180
913,-1032,-1200,-30,-60
914,-1032,-1200,-30,-60
915,-1032,-1200,-30,-60
916,-1032,-1200,-30,-60
917,-3096,-3600,-90,-180
918,-3096,-3600,-90,-180
919,-3096,-3600,-90,-180
920,-3096,-3600,-90,-180
921,-1032,-1200,-30,-60
922,-1032,-1200,-30,-60
923,-1032,-1200,-30,-60
924,-1032,-1200,-30,-60
925,-3096,-3600,-90,-180
926,-3096,-3600,-90,-180
927,-3096,-3600,-90,-180
928,-3096,-3600,-90,-180
929,-1032,-1200,-30,-60
930,-1032,-1200,-30,-60
931,-1032,-1200,-30,-60
932,-1032,-1200,-30,-60
933,-3096,-3600,-90,-180
934,-3096,-3600,-90,-180
935,-3096,-3600,-90,-180
936,-3096,-3600,-90,-180
937,-1032,-1200,-30,-60
938,-1032,-1200,-30,-60
939,-1032,-1200,-30,-60
940,-1032,-1200,-30,-60
941,-3096,-3600,-90,-180
942,-3096,-3600,-90,-180
943,-3096,-3600,-90,-180
944,-3096,-3600,-90,-180
945,-1032,-1200,-30,-60
946,-1032,-1200,-30,-60
947,-1032,-1200,-30,-60
948,-1032,-1200,-30,-60
949,-3096,-3600,-90,-180
950,-3096,-3600,-90,-180
951,-3096,-3600,-90,-180
952,-3096,-3600,-90,-180
953,-1032,-1200,-30,-60
954,-1032,-1200,-30,-60
955,-1032,-1200,-30,-60
956,-1032,-1200,-30,-60
957,-3096,-3600,-90,-180
958,-3096,-3600,-90,-180
959,-3096,-3600,-90,-180
960,-3096,-3600,-90,-180
961,-1032,-1200,-30,-60
962,-1032,-1200,-30,-60
963,-1032,-1200,-30,-60
964,-1032,-1200,-30,-60
965,-3096,-3600,-90,-180
966,-3096,-3600,-90,-180
967,-3096,-3600,-90,-180
968,-3096,-3600,-90,-180
969,-1032,-1200,-30,-60
970,-1032,-1200,-30,-60
971,-1032,-1200,-30,-60
972,-1032,-1200,-30,-60
973,-3096,-3600,-90,-180
974,-3096,-3600,-90,-180
975,-3096,-3600,-90,-180
976,-3096,-3600,-90,-180
977,-1032,-1200,-30,-60
978,-1032,-1200,-30,-60
979,-1032,-1200,-30,-60
980,-1032,-1200,-30,-60
981,-3096,-3600,-90,-180
982,-3096,-3600,-90,-180
983,-3096,-3600,-90,-180
984,-3096,-3600,-90,-180
985,-1032,-1200,-30,-60
986,-1032,-1200,-30,-60
987,-1032,-1200,-30,-60
988,-1032,-1200,-30,-60
989,-3096,-3600,-90,-180
990,-3096,-3600,-90,-180
991,-3096,-3600,-90,-180
992,-3096,-3600,-90,-180
993,-1032,-1200,-30,-60
994,-1032,-1200,-30,-60
995,-1032,-1200,-30,-60
996,-1032,-1200,-30,-60
997,-3096,-3600,-90,-180
998,-3096,-3600,-90,-180
999,-3096,-3600,-90,-180
1000,-3096,-3600,-90,-180
1001,-1032,-1200,-30,-60
1002,-1032,-1200,-30,-60
1003,-1032,-1200,-30,-60
1004,-1032,-1200,-30,-60
1005,-3096,-3600,-90,-180
1006,-3096,-3600,-90,-180
1007,-3096,-3600,-90,-180
1008,-3096,-3600,-90,-180
1009,-1032,-1200,-30,-60
1010,-1032,-1200,-30,-60
1011,-1032,-1200,-30,-60
1012,-1032,-1200,-30,-60
1013,-3096,-3600,-90,-180
1014,-3096,-3600,-90,-180
1015,-3096,-3600,-90,-180
1016,-3096,-3600,-90,-180
1017,-1032,-1200,-30,-60
1018,-1032,-1200,-30,-60
1019,-1032,-1200,-30,-60
1020,-1032,-1200,-30,-60
1021,-3096,-3600,-90,-180
1022,-3096,-3600,-90,-180
1023,-3096,-3600,-90,-180
1024,-3096,-3600,-90,-180
1025,-1032,-1200,-30,-60
1026,-1032,-1200,-30,-60
1027,-1032,-1200,-30,-60
1028,-1032,-1200,-30,-60
1029,-3096,-3600,-90,-180
1030,-3096,-3600,-90,-180
1031,-3096,-3600,-90,-180
1032,-3096,-3600,-90,-180
1033,-1032,-1200,-30,-60
1034,-1032,-1200,-30,-60
1035,-1032,-1200,-30,-60
1036,-1032,-1200,-30,-60
1037,-3096,-3600,-90,-180
1038,-3096,-3600,-90,-180
1039,-3096,-3600,-90,-180
1040,-3096,-3600,-90,-180
1041,-1032,-1200,-30,-60
1042,-1032,-1200,-30,-60
1043,-1032,-1200,-30,-60
1044,-1032,-1200,-30,-60
1045,-3096,-3600,-90,-180
1046,-3096,-3600,-90,-180
1047,-3096,-3600,-90,-180
1048,-3096,-3600,-90,-180
1049,-1032,-1200,-30,-60
1050,-1032,-1200,-30,-60
1051,-1032,-1200,-30,-60
1052,-1032,-1200,-30,-60
1053,-3096,-3600,-90,-180
1054,-3096,-3600,-90,-180
1055,-3096,-3600,-90,-180
1056,-3096,-3600,-90,-180
1057,-1032,-1200,-30,-60
1058,-1032,-1200,-30,-60
1059,-1032,-1200,-30,-60
1060,-1032,-1200,-30,-60
1061,-3096,-3600,-90,-180
1062,-3096,-3600,-90,-180
1063,-3096,-3600,-90,-180
1064,-3096,-3600,-90,-180
1065,-1032,-1200,-30,-60
1066,-1032,-1200,-30,-60
1067,-1032,-1200,-30,-60
1068,-1032,-1200,-30,-60
1069,-3096,-3600,-90,-180
1070,-3096,-3600,-90,-180
1071,-3096,-3600,-90,-180
1072,-3096,-3600,-90,-180
1073,-1032,-1200,-30,-60
1074,-1032,-1200,-30,-60
1075,-1032,-1200,-30,-60
1076,-1032,-1200,-30,-60
1077,-3096,-3600,-90,-180
1078,-3096,-3600,-90,-180
1079,-3096,-3600,-90,-180
1080,-3096,-3600,-90,-180
1081,-1032,-1200,-30,-60
1082,-1032,-1200,-30,-60
1083,-1032,-1200,-30,-60
1084,-1032,-1200,-30,-60
1085,-3096,-3600,-90,-180
1086,-3096,-3600,-90,-180
1087,-3096,-3600,-90,-180
1088,-3096,-3600,-90,-180
1089,-1032,-1200,-30,-60
1090,-1032,-1200,-30,-60
1091,-1032,-1200,-30,-60
1092,-1032,-1200,-30,-60
1093,-3096,-3600,-90,-180
1094,-3096,-3600,-90,-180
1095,-3096,-3600,-90,-180
1096,-3096,-3600,-90,-180
1097,-1032,-1200,-30,-60
1098,-1032,-1200,-30,-60
1099,-1032,-1200,-30,-60
1100,-1032,-1200,-30,-60
1101,-3096,-3600,-90,-180
1102,-3096,-3600,-90,-180
1103,-3096,-3600,-90,-180
1104,-3096,-3600,-90,-180
1105,-1032,-1200,-30,-60
1106,-1032,-1200,-30,-60
1107,-1032,-1200,-30,-60
1108,-1032,-1200,-30,-60
1109,-3096,-3600,-90,-180
1110,-3096,-3600,-90,-180
1111,-3096,-3600,-90,-180
1112,-3096,-3600,-90,-180
1113,-1032,-1200,-30,-60
1114,-1032,-1200,-30,-60
1115,-1032,-1200,-30,-60
1116,-1032,-1200,-30,-60
1117,-3096,-3600,-90,-180
1118,-3096,-3600,-90,-180
1119,-3096,-3600,-90,-180
1120,-3096,-3600,-90,-180
1121,-1032,-1200,-30,-60
1122,-1032,-1200,-30,-60
1123,-1032,-1200,-30,-60
1124,-1032,-1200,-30,-60
1125,-3096,-3600,-90,-180
1126,-3096,-3600,-90,-180
1127,-3096,-3600,-90,-180
1128,-3096,-3600,-90,-180
1129,-1032,-1200,-30,-60
1130,-1032,-1200,-30,-60
1131,-1032,-1200,-30,-60
1132,-1032,-1200,-30,-60
1133,-3096,-3600,-90,-180
1134,-3096,-3600,-90,-180
1135,-3096,-3600,-90,-180
1136,-3096,-3600,-90,-180
1137,-1032,-1200,-30,-60
1138,-1032,-1200,-30,-60
1139,-1032,-1200,-30,-60
1140,-1032,-1200,-30,-60
1141,-3096,-3600,-90,-180
1142,-3096,-3600,-90,-180
1143,-3096,-3600,-90,-180
1144,-3096,-3600,-90,-180
1145,-1032,-1200,-30,-60
1146,-1032,-1200,-30,-60
1147,-1032,-1200,-30,-60
1148,-1032,-1200,-30,-60
1149,-3096,-3600,-90,-180
1150,-3096,-3600,-90,-180
1151,-3096,-3600,-90,-180
1152,-3096,-3600,-90,-180
1153,-1032,-1200,-30,-60
1154,-1032,-1200,-30,-60
1155,-1032,-1200,-30,-60
1156,-1032,-1200,-30,-60
1157,-3096,-3600,-90,-180
1158,-3096,-3600,-90,-180
1159,-3096,-3600,-90,-180
1160,-3096,-3600,-90,-180
1161,-1032,-1200,-30,-60
1162,-1032,-1200,-30,-60
1163,-1032,-1200,-30,-60
1164,-1032,-1200,-30,-60
1165,-3096,-3600,-90,-180
1166,-3096,-3600,-90,-180
1167,-3096,-3600,-90,-180
1168,-3096,-3600,-90,-180
1169,-1032,-1200,-30,-60
1170,-1032,-1200,-30,-60
1171,-1032,-1200,-30,-60
1172,-1032,-1200,-30,-60
1173,-3096,-3600,-90,-180
1174,-3096,-3600,-90,-180
1175,-3096,-3600,-90,-180
1176,-3096,-3600,-90,-180
1177,-1032,-1200,-30,-60
1178,-1032,-1200,-30,-60
1179,-1032,-1200,-30,-60
1180,-1032,-1200,-30,-60
1181,-3096,-3600,-90,-180
1182,-3096,-3600,-90,-180
1183,-3096,-3600,-90,-180
1184,-3096,-3600,-90,-180
1185,-1032,-1200,-30,-60
1186,-1032,-1200,-30,-60
1187,-1032,-1200,-30,-60
1188,-1032,-1200,-30,-60
1189,-3096,-3600,-90,-180
1190,-3096,-3600,-90,-180
1191,-3096,-3600,-90,-180
1192,-3096,-3600,-90,-180
1193,-1032,-1200,-30,-60
1194,-1032,-1200,-30,-60
1195,-1032,-1200,-30,-60
1196,-1032,-1200,-30,-60
1197,-3096,-3600,-90,-180
1198,-3096,-3600,-90,-180
1199,-3096,-3600,-90,-180
1200,-3096,-3600,-90,-180
1201,-1032,-1200,-30,-60
1202,-1032,-1200,-30,-60
1203,-1032,-1200,-30,-60
1204,-1032,-1200,-30,-60
1205,-3096,-3600,-90,-180
1206,-3096,-3600,-90,-180
1207,-3096,-3600,-90,-180
1208,-3096,-3600,-90,-180
1209,-1032,-1200,-30,-60
1210,-1032,-1200,-30,-60
1211,-1032,-1200,-30,-60
1212,-1032,-1200,-30,-60
1213,-3096,-3600,-90,-180
1214,-3096,-3600,-90,-180
1215,-3096,-3600,-90,-180
1216,-3096,-3600,-90,-180
1217,-1032,-1200,-30,-60
1218,1032,1200,30,60
1219,1032,1200,30,60
1220,1032,1200,30,60
1221,-1032,-1200,-30,-60
1222,-1032,-1200,-30,-60
1223,-1032,-1200,-30,-60
1224,-1032,-1200,-30,-60
1225,1032,1200,30,60
1226,1032,1200,30,60
1227,1032,1200,30,60
1228,1032,1200,30,60
1229,-1032,-1200,-30,-60
1230,-1032,-1200,-30,-60
1231,-1032,-1200,-30,-60
1232,-1032,-1200,-30,-60
1233,1032,1200,30,60
1234,1032,1200,30,60
1235,1032,1200,30,60
1236,1032,1200,30,60
1237,-1032,-1200,-30,-60
1238,-1032,-1200,-30,-60
1239,-1032,-1200,-30,-60
1240,-1032,-1200,-30,-60
1241,1032,1200,30,60
1242,1032,1200,30,60
1243,1032,1200,30,60
1244,1032,1200,30,60
1245,-1032,-1200,-30,-60
1246,-1032,-1200,-30,-60
1247,-1032,-1200,-30,-60
1248,-1032,-1200,-30,-60
1249,1032,1200,30,60
1250,1032,1200,30,60
1251,1032,1200,30,60
1252,1032,1200,30,60
1253,-1032,-1200,-30,-60
1254,-1032,-1200,-30,-60
1255,-1032,-1200,-30,-60
1256,-1032,-1200,-30,-60
1257,1032,1200,30,60
1258,1032,1200,30,60
1259,1032,1200,30,60
1260,1032,1200,30,60
1261,-1032,-1200,-30,-60
1262,-1032,-1200,-30,-60
1263,-1032,-1200,-30,-60
1264,-1032,-1200,-30,-60
1265,1032,1200,30,60
1266,1032,1200,30,60
1267,1032,1200,30,60
1268,1032,1200,30,60
1269,-1032,-1200,-30,-60
1270,-1032,-1200,-30,-60
1271,-1032,-1200,-30,-60
1272,-1032,-1200,-30,-60
1273,1032,1200,30,60
1274,1032,1200,30,60
1275,1032,1200,30,60
1276,1032,1200,30,60
1277,-1032,-1200,-30,-60
1278,-1032,-1200,-30,-60
1279,-1032,-1200,-30,-60
1280,-1032,-1200,-30,-60
1281,1032,1200,30,60
1282,1032,1200,30,60
1283,1032,1200,30,60
1284,1032,1200,30,60
1285,-1032,-1200,-30,-60
1286,-1032,-1200,-30,-60
1287,-1032,-1200,-30,-60
1288,-1032,-1200,-30,-60
1289,1032,1200,30,60
1290,1032,1200,30,60
1291,1032,1200,30,60
1292,1032,1200,30,60
1293,-1032,-1200,-30,-60
1294,-1032,-1200,-30,-60
1295,-1032,-1200,-30,-60
1296,-1032,-1200,-30,-60
1297,1032,1200,30,60
1298,1032,1200,30,60
1299,1032,1200,30,60
1300,1032,1200,30,60
1301,-1032,-1200,-30,-60
1302,-1032,-1200,-30,-60
1303,-1032,-1200,-30,-60
1304,-1032,-1200,-30,-60
1305,1032,1200,30,60
1306,1032,1200,30,60
1307,1032,1200,30,60
1308,1032,1200,30,60
1309,-1032,-1200,-30,-60
1310,-1032,-1200,-30,-60
1311,-1032,-1200,-30,-60
1312,-1032,-1200,-30,-60
1313,1032,1200,30,60
1314,1032,1200,30,60
1315,1032,1200,30,60
1316,1032,1200,30,60
1317,-1032,-1200,-30,-60
1318,-1032,-1200,-30,-60
1319,-1032,-1200,-30,-60
1320,-1032,-1200,-30,-60
1321,1032,1200,30,60
1322,1032,1200,30,60
1323,1032,1200,30,60
1324,1032,1200,30,60
1325,-1032,-1200,-30,-60
1326,-1032,-1200,-30,-60
1327,-1032,-1200,-30,-60
1328,-1032,-1200,-30,-60
1329,1032,1200,30,60
1330,1032,1200,30,60
1331,1032,1200,30,60
1332,1032,1200,30,60
1333,-1032,-1200,-30,-60
1334,-1032,-1200,-30,-60
1335,-1032,-1200,-30,-60
1336,-1032,-1200,-30,-60
1337,1032,1200,30,60
1338,1032,1200,30,60
1339,1032,1200,30,60
1340,1032,1200,30,60
1341,-1032,-1200,-30,-60
1342,-1032,-1200,-30,-60
1343,-1032,-1200,-30,-60
1344,-1032,-1200,-30,-60
1345,1032,1200,30,60
1346,1032,1200,30,60
1347,1032,1200,30,60
1348,1032,1200,30,60
1349,-1032,-1200,-30,-60
1350,-1032,-1200,-30,-60
1351,-1032,-1200,-30,-60
1352,-1032,-1200,-30,-60
1353,1032,1200,30,60
1354,1032,1200,30,60
1355,1032,1200,30,60
1356,1032,1200,30,60
1357,-1032,-1200,-30,-60
1358,-1032,-1200,-30,-60
1359,-1032,-1200,-30,-60
1360,-1032,-1200,-30,-60
1361,1032,1200,30,60
1362,1032,1200,30,60
1363,1032,1200,30,60
1364,1032,1200,30,60
1365,-1032,-1200,-30,-60
1366,-1032,-1200,-30,-60
1367,-1032,-1200,-30,-60
1368,-1032,-1200,-30,-60
1369,1032,1200,30,60
1370,1032,1200,30,60
1371,1032,1200,30,60
1372,1032,1200,30,60
1373,-1032,-1200,-30,-60
1374,-1032,-1200,-30,-60
1375,-1032,-1200,-30,-60
1376,-1032,-1200,-30,-60
1377,1032,1200,30,60
1378,1032,1200,30,60
1379,1032,1200,30,60
1380,1032,1200,30,60
1381,-1032,-1200,-30,-60
1382,-1032,-1200,-30,-60
1383,-1032,-1200,-30,-60
1384,-1032,-1200,-30,-60
1385,1032,1200,30,60
1386,1032,1200,30,60
1387,1032,1200,30,60
1388,1032,1200,30,60
1389,-1032,-1200,-30,-60
1390,-1032,-1200,-30,-60
1391,-1032,-1200,-30,-60
1392,-1032,-1200,-30,-60
1393,1032,1200,30,60
1394,1032,1200,30,60
1395,1032,1200,30,60
1396,1032,1200,30,60
1397,-1032,-1200,-30,-60
1398,-1032,-1200,-30,-60
1399,-1032,-1200,-30,-60
1400,-1032,-1200,-30,-60
1401,1032,1200,30,60
1402,1032,1200,30,60
1403,1032,1200,30,60
1404,1032,1200,30,60
1405,-1032,-1200,-30,-60
1406,-1032,-1200,-30,-60
1407,-1032,-1200,-30,-60
1408,-1032,-1200,-30,-60
1409,1032,1200,30,60
1410,1032,1200,30,60
1411,1032,1200,30,60
1412,1032,1200,30,60
1413,-1032,-1200,-30,-60
1414,-1032,-1200,-30,-60
1415,-1032,-1200,-30,-60
1416,-1032,-1200,-30,-60
1417,1032,1200,30,60
1418,1032,1200,30,60
1419,1032,1200,30,60
1420,1032,1200,30,60
1421,-1032,-1200,-30,-60
1422,-1032,-1200,-30,-60
1423,-1032,-1200,-30,-60
1424,-1032,-1200,-30,-60
1425,1032,1200,30,60
1426,1032,1200,30,60
1427,1032,1200,30,60
1428,1032,1200,30,60
1429,-1032,-1200,-30,-60
1430,-1032,-1200,-30,-60
1431,-1032,-1200,-30,-60
1432,-1032,-1200,-30,-60
1433,1032,1200,30,60
1434,1032,1200,30,60
1435,1032,1200,30,60
1436,1032,1200,30,60
1437,-1032,-1200,-30,-60
1438,-1032,-1200,-30,-60
1439,-1032,-1200,-30,-60
1440,-1032,-1200,-30,-60
1441,1032,1200,30,60
1442,1032,1200,30,60
1443,1032,1200,30,60
1444,1032,1200,30,60
1445,-1032,-1200,-30,-60
1446,-1032,-1200,-30,-60
1447,-1032,-1200,-30,-60
1448,-1032,-1200,-30,-60
1449,1032,1200,30,60
1450,1032,1200,30,60
1451,1032,1200,30,60
1452,1032,1200,30,60
1453,-1032,-1200,-30,-60
1454,-1032,-1200,-30,-60
1455,-1032,-1200,-30,-60
1456,-1032,-1200,-30,-60
1457,1032,1200,30,60
1458,1032,1200,30,60
1459,1032,1200,30,60
1460,1032,1200,30,60
1461,-1032,-1200,-30,-60
1462,-1032,-1200,-30,-60
1463,-1032,-1200,-30,-60
1464,-1032,-1200,-30,-60
1465,1032,1200,30,60
1466,1032,1200,30,60
1467,1032,1200,30,60
1468,1032,1200,30,60
1469,-1032,-1200,-30,-60
1470,-1032,-1200,-30,-60
1471,-1032,-1200,-30,-60
1472,-1032,-1200,-30,-60
1473,1032,1200,30,60
1474,1032,1200,30,60
1475,1032,1200,30,60
1476,1032,1200,30,60
1477,-1032,-1200,-30,-60
1478,-1032,-1200,-30,-60
1479,-1032,-1200,-30,-60
1480,-1032,-1200,-30,-60
1481,1032,1200,30,60
1482,1032,1200,30,60
1483,1032,1200,30,60
1484,1032,1200,30,60
1485,-1032,-1200,-30,-60
1486,-1032,-1200,-30,-60
1487,-1032,-1200,-30,-60
1488,-1032,-1200,-30,-60
1489,1032,1200,30,60
1490,1032,1200,30,60
1491,1032,1200,30,60
1492,1032,1200,30,60
1493,-1032,-1200,-30,-60
1494,-1032,-1200,-30,-60
1495,-1032,-1200,-30,-60
1496,-1032,-1200,-30,-60
1497,1032,1200,30,60
1498,1032,1200,30,60
1499,1032,1200,30,60
1500,1032,1200,30,60
1501,-1032,-1200,-30,-60
1502,-1032,-1200,-30,-60
1503,-1032,-1200,-30,-60
1504,-1032,-1200,-30,-60
1505,1032,1200,30,60
1506,1032,1200,30,60
1507,1032,1200,30,60
1508,1032,1200,30,60
1509,-1032,-1200,-30,-60
1510,-1032,-1200,-30,-60
1511,-1032,-1200,-30,-60
1512,-1032,-1200,-30,-60
1513,1032,1200,30,60
1514,1032,1200,30,60
1515,1032,1200,30,60
1516,1032,1200,30,60
1517,-1032,-1200,-30,-60
1518,-1032,-1200,-30,-60
1519,-1032,-1200,-30,-60
1520,-1032,-1200,-30,-60
1521,1032,1200,30,60
1522,1032,1200,30,60
1523,1032,1200,30,60
1524,1032,1200,30,60
1525,-1032,-1200,-30,-60
1526,-1032,-1200,-30,-60
1527,-1032,-1200,-30,-60
1528,-1032,-1200,-30,-60
1529,1032,1200,30,60
1530,1032,1200,30,60
1531,1032,1200,30,60
1532,1032,1200,30,60
1533,-1032,-1200,-30,-60
1534,-1032,-1200,-30,-60
1535,-1032,-1200,-30,-60
1536,-1032,-1200,-30,-60
1537,1032,1200,30,60
1538,1032,1200,30,60
1539,1032,1200,30,60
1540,1032,1200,30,60
1541,-1032,-1200,-30,-60
1542,-1032,-1200,-30,-60
1543,-1032,-1200,-30,-60
1544,-1032,-1200,-30,-60
1545,1032,1200,30,60
1546,1032,1200,30,60
1547,1032,1200,30,60
1548,1032,1200,30,60
1549,-1032,-1200,-30,-60
1550,-1032,-1200,-30,-60
1551,-1032,-1200,-30,-60
1552,-1032,-1200,-30,-60
1553,1032,1200,30,60
1554,1032,1200,30,60
1555,1032,1200,30,60
1556,1032,1200,30,60
1557,-1032,-1200,-30,-60
1558,-1032,-1200,-30,-60
1559,-1032,-1200,-30,-60
1560,-1032,-1200,-30,-60
1561,1032,1200,30,60
1562,1032,1200,30,60
1563,1032,1200,30,60
1564,1032,1200,30,60
1565,-1032,-1200,-30,-60
1566,-1032,-1200,-30,-60
1567,-1032,-1200,-30,-60
1568,-1032,-1200,-30,-60
1569,1032,1200,30,60
1570,1032,1200,30,60
1571,1032,1200,30,60
1572,1032,1200,30,60
1573,-1032,-1200,-30,-60
1574,-1032,-1200,-30,-60
1575,-1032,-1200,-30,-60
1576,-1032,-1200,-30,-60
1577,1032,1200,30,60
1578,1032,1200,30,60
1579,1032,1200,30,60
1580,1032,1200,30,60
1581,-1032,-1200,-30,-60
1582,-1032,-1200,-30,-60
1583,-1032,-1200,-30,-60
1584,-1032,-1200,-30,-60
1585,1032,1200,30,60
1586,1032,1200,30,60
1587,1032,1200,30,60
1588,1032,1200,30,60
1589,-1032,-1200,-30,-60
1590,-1032,-1200,-30,-60
1591,-1032,-1200,-30,-60
1592,-1032,-1200,-30,-60
1593,-1032,-1200,-30,-60
1594,-1032,-1200,-30,-60
1595,-1032,-1200,-30,-60
1596,-1032,-1200,-30,-60
1597,-3096,-3600,-90,-180
1598,-3096,-3600,-90,-180
1599,-3096,-3600,-90,-180
1600,-3096,-3600,-90,-180
1601,-1032,-1200,-30,-60
1602,-1032,-1200,-30,-60
1603,-1032,-1200,-30,-60
1604,-1032,-1200,-30,-60
1605,-3096,-3600,-90,-180
1606,-3096,-3600,-90,-180
1607,-3096,-3600,-90,-180
1608,-3096,-3600,-90,-180
1609,-1032,-1200,-30,-60
1610,-1032,-1200,-30,-60
1611,-1032,-1200,-30,-60
1612,-1032,-1200,-30,-60
1613,-3096,-3600,-90,-180
1614,-3096,-3600,-90,-180
1615,-3096,-3600,-90,-180
1616,-3096,-3600,-90,-180
1617,-1032,-1200,-30,-60
1618,-1032,-1200,-30,-60
1619,-1032,-1200,-30,-60
1620,-1032,-1200,-30,-60
1621,-3096,-3600,-90,-180
1622,-3096,-3600,-90,-180
1623,-3096,-3600,-90,-180
1624,-3096,-3600,-90,-180
1625,-1032,-1200,-30,-60
1626,-1032,-1200,-30,-60
1627,-1032,-1200,-30,-60
1628,-1032,-1200,-30,-60
1629,-3096,-3600,-90,-180
1630,-3096,-3600,-90,-180
1631,-3096,-3600,-90,-180
1632,-3096,-3600,-90,-180
1633,-1032,-1200,-30,-60
1634,-1032,-1200,-30,-60
1635,-1032,-1200,-30,-60
1636,-1032,-1200,-30,-60
1637,-3096,-3600,-90,-180
1638,-3096,-3600,-90,-180
1639,-3096,-3600,-90,-180
1640,-3096,-3600,-90,-180
1641,-1032,-1200,-30,-60
1642,-1032,-1200,-30,-60
1643,-1032,-1200,-30,-60
1644,-1032,-1200,-30,-60
1645,-3096,-3600,-90,-180
1646,-3096,-3600,-90,-180
1647,-3096,-3600,-90,-180
1648,-3096,-3600,-90,-180
1649,-1032,-1200,-30,-60
1650,-1032,-1200,-30,-60
1651,-1032,-1200,-30,-60
1652,-1032,-1200,-30,-60
1653,-3096,-3600,-90,-180
1654,-3096,-3600,-90,-180
1655,-3096,-3600,-90,-180
1656,-3096,-3600,-90,-180
1657,-1032,-1200,-30,-60
1658,-1032,-1200,-30,-60
1659,-1032,-1200,-30,-60
1660,-1032,-1200,-30,-60
1661,-3096,-3600,-90,-180
1662,-3096,-3600,-90,-180
1663,-3096,-3600,-90,-180
1664,-3096,-3600,-90,-180
1665,-1032,-1200,-30,-60
1666,-1032,-1200,-30,-60
1667,-1032,-1200,-30,-60
1668,-1032,-1200,-30,-60
1669,-3096,-3600,-90,-180
1670,-3096,-3600,-90,-180
1671,-3096,-3600,-90,-180
1672,-3096,-3600,-90,-180
1673,-1032,-1200,-30,-60
1674,-1032,-1200,-30,-60
1675,-1032,-1200,-30,-60
1676,-1032,-1200,-30,-60
1677,-3096,-3600,-90,-180
1678,-3096,-3600,-90,-180
1679,-3096,-3600,-90,-180
1680,-3096,-3600,-90,-180
1681,-1032,-1200,-30,-60
1682,-1032,-1200,-30,-60
1683,-1032,-1200,-30,-60
1684,-1032,-1200,-30,-60
1685,-3096,-3600,-90,-180
1686,-3096,-3600,-90,-180
1687,-3096,-3600,-90,-180
1688,-3096,-3600,-90,-180
1689,-1032,-1200,-30,-60
1690,-1032,-1200,-30,-60
1691,-1032,-1200,-30,-60
1692,-1032,-1200,-30,-60
1693,-3096,-3600,-90,-180
1694,-3096,-3600,-90,-180
1695,-3096,-3600,-90,-180
1696,-3096,-3600,-90,-180
1697,-1032,-1200,-30,-60
1698,-1032,-1200,-30,-60
1699,-1032,-1200,-30,-60
1700,-1032,-1200,-30,-60
1701,-3096,-3600,-90,-180
1702,-3096,-3600,-90,-180
1703,-3096,-3600,-90,-180
1704,-3096,-3600,-90,-180
1705,-1032,-1200,-30,-60
1706,-1032,-1200,-30,-60
1707,-1032,-1200,-30,-60
1708,-1032,-1200,-30,-60
1709,-3096,-3600,-90,-180
1710,-3096,-3600,-90,-180
1711,-3096,-3600,-90,-180
1712,-3096,-3600,-90,-180
1713,-1032,-1200,-30,-60
1714,-1032,-1200,-30,-60
1715,-1032,-1200,-30,-60
1716,-1032,-1200,-30,-60
1717,-3096,-3600,-90,-180
1718,-3096,-3600,-90,-180
1719,-3096,-3600,-90,-180
1720,-3096,-3600,-90,-180
1721,-1032,-1200,-30,-60
1722,-1032,-1200,-30,-60
1723,-1032,-1200,-30,-60
1724,-1032,-1200,-30,-60
1725,-3096,-3600,-90,-180
1726,-3096,-3600,-90,-180
1727,-3096,-3600,-90,-180
1728,-3096,-3600,-90,-180
1729,-1032,-1200,-30,-60
1730,-1032,-1200,-30,-60
1731,-1032,-1200,-30,-60
1732,-1032,-1200,-30,-60
1733,-3096,-3600,-90,-180
1734,-3096,-3600,-90,-180
1735,-3096,-3600,-90,-180
1736,-3096,-3600,-90,-180
1737,-1032,-1200,-30,-60
1738,-1032,-1200,-30,-60
1739,-1032,-1200,-30,-60
1740,-1032,-1200,-30,-60
1741,-3096,-3600,-90,-180
1742,-3096,-3600,-90,-180
1743,-3096,-3600,-90,-180
1744,-3096,-3600,-90,-180
1745,-1032,-1200,-30,-60
1746,-1032,-1200,-30,-60
1747,-1032,-1200,-30,-60
1748,-1032,-1200,-30,-60
1749,-3096,-3600,-90,-180
1750,-3096,-3600,-90,-180
1751,-3096,-3600,-90,-180
1752,-3096,-3600,-90,-180
1753,-1032,-1200,-30,-60
1754,-1032,-1200,-30,-60
1755,-1032,-1200,-30,-60
1756,-1032,-1200,-30,-60
1757,-3096,-3600,-90,-180
1758,-3096,-3600,-90,-180
1759,-3096,-3600,-90,-180
1760,-3096,-3600,-90,-180
1761,-1032,-1200,-30,-60
1762,-1032,-1200,-30,-60
1763,-1032,-1200,-30,-60
1764,-1032,-1200,-30,-60
1765,-3096,-3600,-90,-180
1766,-3096,-3600,-90,-180
1767,-3096,-3600,-90,-180
1768,-3096,-3600,-90,-180
1769,-1032,-1200,-30,-60
1770,-1032,-1200,-30,-60
1771,-1032,-1200,-30,-60
1772,-1032,-1200,-30,-60
1773,-3096,-3600,-90,-180
1774,-3096,-3600,-90,-180
1775,-3096,-3600,-90,-180
1776,-3096,-3600,-90,-180
1777,-1032,-1200,-30,-60
